Id,actual_productivity
0,0.6401808857917786
1,0.5876551270484924
2,0.5719516277313232
3,0.5327507853507996
4,0.48895204067230225
5,0.4977496862411499
6,0.4870564937591553
7,0.892754316329956
8,0.892754316329956
9,0.8682741522789001
10,0.8529182076454163
11,0.8281110525131226
12,0.8128262758255005
13,0.7933412194252014
14,0.7847322821617126
15,0.7616092562675476
16,0.755058228969574
17,0.7416682243347168
18,0.7088875770568848
19,0.7156258225440979
20,0.679972767829895
21,0.6194419264793396
22,0.5876551270484924
23,0.5568627715110779
24,0.5327507853507996
25,0.4977496862411499
26,0.4977496862411499
27,0.4870564937591553
28,0.892754316329956
29,0.8867998719215393
30,0.8768409490585327
31,0.8469637632369995
32,0.8307234048843384
33,0.8185746669769287
34,0.801908016204834
35,0.7789838910102844
36,0.7701760530471802
37,0.7578766345977783
38,0.7502350211143494
39,0.7271791696548462
40,0.6948868632316589
41,0.679972767829895
42,0.6280087232589722
43,0.6050196886062622
44,0.5863751769065857
45,0.5239530205726624
46,0.4977496862411499
47,0.5196112990379333
48,0.8867998719215393
49,0.892754316329956
50,0.8651381134986877
51,0.8412153720855713
52,0.8366778492927551
53,0.8185746669769287
54,0.8078624606132507
55,0.7906867265701294
56,0.7761304974555969
57,0.7636250257492065
58,0.7502350211143494
59,0.7174543738365173
60,0.7036846280097961
61,0.6742243766784668
62,0.6310580968856812
63,0.6050196886062622
64,0.5719516277313232
65,0.547174334526062
66,0.49200135469436646
67,0.5196112990379333
68,0.892754316329956
69,0.892754316329956
70,0.8768409490585327
71,0.8469637632369995
72,0.8366778492927551
73,0.8245291113853455
74,0.8078624606132507
75,0.7847322821617126
76,0.7701760530471802
77,0.7636250257492065
78,0.7502350211143494
79,0.7174543738365173
80,0.7036846280097961
81,0.679972767829895
82,0.6487476825714111
83,0.5930979251861572
84,0.5607590079307556
85,0.5215581655502319
86,0.4865570068359375
87,0.4865570068359375
88,0.47586381435394287
89,0.4670661687850952
90,0.8915061354637146
91,0.8915061354637146
92,0.8755927681922913
93,0.8457155823707581
94,0.8294752240180969
95,0.8160289525985718
96,0.803874671459198
97,0.7866989374160767
98,0.7706509232521057
99,0.7624104619026184
100,0.73947674036026
101,0.706696093082428
102,0.6909624934196472
103,0.6672506332397461
104,0.6240843534469604
105,0.5828511118888855
106,0.515936017036438
107,0.4679369628429413
108,0.46359533071517944
109,0.4329361319541931
110,0.43228879570961
111,0.8915061354637146
112,0.8798032999038696
113,0.8755927681922913
114,0.8516700267791748
115,0.8294752240180969
116,0.8160289525985718
117,0.803874671459198
118,0.7866989374160767
119,0.7706509232521057
120,0.7624104619026184
121,0.73947674036026
122,0.706696093082428
123,0.6909624934196472
124,0.6672506332397461
125,0.6240843534469604
126,0.553545355796814
127,0.515936017036438
128,0.49115824699401855
129,0.4329361319541931
130,0.8915061354637146
131,0.8915061354637146
132,0.8696383237838745
133,0.8516700267791748
134,0.8237268328666687
135,0.8160289525985718
136,0.7953078746795654
137,0.7866989374160767
138,0.7589480876922607
139,0.7564560174942017
140,0.73947674036026
141,0.706696093082428
142,0.6909624934196472
143,0.6791918277740479
144,0.6097691655158997
145,0.5828511118888855
146,0.5101876258850098
147,0.4679369628429413
148,0.44173377752304077
149,0.8915061354637146
150,0.8915061354637146
151,0.8696383237838745
152,0.8457155823707581
153,0.8294752240180969
154,0.8160289525985718
155,0.792171835899353
156,0.7807444930076599
157,0.764696478843689
158,0.7538436651229858
159,0.7492015361785889
160,0.7164208889007568
161,0.702903687953949
162,0.6672506332397461
163,0.6240843534469604
164,0.5623431205749512
165,0.5008469223976135
166,0.4679369628429413
167,0.4329361319541931
168,0.4329361319541931
169,0.43228879570961
170,0.42349115014076233
171,0.8915061354637146
172,0.8915061354637146
173,0.868326723575592
174,0.8457155823707581
175,0.8294752240180969
176,0.8204657435417175
177,0.7953078746795654
178,0.7866989374160767
179,0.7706509232521057
180,0.7624104619026184
181,0.73947674036026
182,0.7218145132064819
183,0.6909624934196472
184,0.6586838364601135
185,0.6240843534469604
186,0.6496732234954834
187,0.5038963556289673
188,0.4709862768650055
189,0.4329361319541931
190,0.4329361319541931
191,0.49066686630249023
192,0.4849185347557068
193,0.892754316329956
194,0.8810514807701111
195,0.870886504650116
196,0.8529182076454163
197,0.8307234048843384
198,0.8185746669769287
199,0.801908016204834
200,0.7847322821617126
201,0.7761304974555969
202,0.7610126733779907
203,0.7599598169326782
204,0.7271791696548462
205,0.7036846280097961
206,0.679972767829895
207,0.6368064880371094
208,0.5964528918266296
209,0.5656605362892151
210,0.5327507853507996
211,0.49200135469436646
212,0.48895204067230225
213,0.4813081622123718
214,0.4782588481903076
215,0.4870564937591553
216,0.892754316329956
217,0.892754316329956
218,0.870886504650116
219,0.8469637632369995
220,0.8307234048843384
221,0.8245291113853455
222,0.7992956638336182
223,0.7906867265701294
224,0.7761304974555969
225,0.7636250257492065
226,0.7502350211143494
227,0.7174543738365173
228,0.6951178312301636
229,0.679972767829895
230,0.6368064880371094
231,0.5964528918266296
232,0.5656605362892151
233,0.5327507853507996
234,0.49200135469436646
235,0.4977496862411499
236,0.4870564937591553
237,0.4813081622123718
238,0.4870564937591553
239,0.4870564937591553
